sample_id,label
TEST_0000,2
TEST_0001,2
TEST_0002,2
TEST_0003,2
TEST_0004,0
TEST_0005,0
TEST_0006,0
TEST_0007,0
TEST_0008,2
TEST_0009,1
TEST_0010,2
TEST_0011,2
TEST_0012,1
TEST_0013,2
TEST_0014,2
TEST_0015,2
TEST_0016,2
TEST_0017,2
TEST_0018,1
TEST_0019,2
TEST_0020,0
TEST_0021,1
TEST_0022,1
TEST_0023,1
TEST_0024,1
TEST_0025,2
TEST_0026,1
TEST_0027,0
TEST_0028,2
TEST_0029,1
TEST_0030,1
TEST_0031,0
TEST_0032,0
TEST_0033,2
TEST_0034,1
TEST_0035,1
TEST_0036,2
TEST_0037,2
TEST_0038,0
TEST_0039,1
TEST_0040,2
TEST_0041,0
TEST_0042,0
TEST_0043,1
TEST_0044,0
TEST_0045,0
TEST_0046,0
TEST_0047,2
TEST_0048,2
TEST_0049,2
TEST_0050,1
TEST_0051,0
TEST_0052,0
TEST_0053,2
TEST_0054,1
TEST_0055,2
TEST_0056,0
TEST_0057,0
TEST_0058,2
TEST_0059,0
TEST_0060,2
TEST_0061,2
TEST_0062,0
TEST_0063,1
TEST_0064,2
TEST_0065,1
TEST_0066,0
TEST_0067,1
TEST_0068,2
TEST_0069,0
TEST_0070,2
TEST_0071,2
TEST_0072,2
TEST_0073,2
TEST_0074,2
TEST_0075,2
TEST_0076,0
TEST_0077,0
TEST_0078,0
TEST_0079,0
TEST_0080,1
TEST_0081,0
TEST_0082,1
TEST_0083,2
TEST_0084,0
TEST_0085,2
TEST_0086,2
TEST_0087,1
TEST_0088,0
TEST_0089,1
TEST_0090,0
TEST_0091,1
TEST_0092,0
TEST_0093,2
TEST_0094,0
TEST_0095,1
TEST_0096,0
TEST_0097,1
TEST_0098,2
TEST_0099,0
TEST_0100,1
TEST_0101,2
TEST_0102,0
TEST_0103,0
TEST_0104,0
TEST_0105,1
TEST_0106,2
TEST_0107,1
TEST_0108,1
TEST_0109,2
TEST_0110,0
TEST_0111,0
TEST_0112,0
TEST_0113,2
TEST_0114,2
TEST_0115,1
TEST_0116,0
TEST_0117,2
TEST_0118,0
TEST_0119,0
TEST_0120,0
TEST_0121,1
TEST_0122,1
TEST_0123,0
TEST_0124,0
TEST_0125,0
TEST_0126,0
TEST_0127,2
TEST_0128,1
TEST_0129,0
TEST_0130,0
TEST_0131,1
TEST_0132,2
TEST_0133,1
TEST_0134,0
TEST_0135,1
TEST_0136,2
TEST_0137,2
TEST_0138,0
TEST_0139,1
TEST_0140,1
TEST_0141,2
TEST_0142,1
TEST_0143,2
TEST_0144,1
TEST_0145,0
TEST_0146,1
TEST_0147,1
TEST_0148,2
TEST_0149,0
TEST_0150,0
TEST_0151,1
TEST_0152,0
TEST_0153,2
TEST_0154,2
TEST_0155,0
TEST_0156,0
TEST_0157,1
TEST_0158,0
TEST_0159,0
TEST_0160,2
TEST_0161,0
TEST_0162,2
TEST_0163,0
TEST_0164,2
TEST_0165,0
TEST_0166,1
TEST_0167,0
TEST_0168,1
TEST_0169,0
